21/03/2018,RET CAJ OTRO BCO COM IVA/ ******7830 MAR21 11:32 SCH N30849     FOLIO:4710,"-5,031.32",,"48,000.48",
21/03/2018,RET CAJ OTRO BCO COM IVA/ ******7830 MAR21 11:31 SCH N30849     FOLIO:4709,-531.32,,"53,031.80",
20/03/2018,SPEI RECIBIDOSANTANDER/ 0005023971  014 0000001PATO,,"1,950.00","53,563.12",
20/03/2018,SPEI RECIBIDOSANTANDER/ 0005023061  014 0000001PAGO,,50.00,"51,613.12",
20/03/2018,AIRBNB/ ******7830 RFC:               14:49 AUT: 615379,"-2,360.07",,"51,563.12",
20/03/2018,DISTRIBUIDORA LIVERP/ GUIA:3442120 REF:00001300002947927101 CIE:0084946,"-1,931.50",,"53,923.19",
20/03/2018,SPEI ENVIADO SANTANDER/ 0004922418  014 0200318DINERO,"-1,500.00",,"55,854.69",
19/03/2018,RETIRO CAJERO AUTOMATICO/ ******7830 MAR19 19:41 BANCOMER A003  FOLIO:2881,-400.00,,"57,354.69",
20/03/2018,REST SUPER SALADS 7/ ******7830 RFC: GSA 091218KT2 16:35 AUT: 527892,-168.30,,"57,754.69",
20/03/2018,OXXO TAVEN/ ******7830 RFC: CCO 8605231N4 04:54 AUT: 638211,-105.00,,"57,922.99",
17/03/2018,PAGO TARJETA DE CREDITO/ 0018956008 CUENTA: 4772913041948565 BMOV,"-8,143.12",,"58,027.99",
16/03/2018,RETIRO CAJERO AUTOMATICO/ ******7830 MAR16 14:14 BANCOMER A993  FOLIO:6248,-600.00,,"66,171.11",
13/03/2018,SPEI RECIBIDOBANAMEX/ 0005047996  002 6946900333110,,"8,914.52","66,771.11",
13/03/2018,SPEI RECIBIDOBANAMEX/ 0005031784  002 0019191PAGO NOMINA ORACLE DE MEXICO,,"30,755.90","57,856.59",
12/03/2018,SPEI ENVIADO SANTANDER/ 0001703862  014 0120318ABONOCURSOYTINTAS,"-10,900.00",,"27,100.69",
09/03/2018,ADYEN*SPOTIFY/ ******7830 RFC: RSM 160408CSA 10:21 AUT: 974746,-99.00,,"38,000.69",
09/03/2018,STARBUCKS PATIO PATRIA/ ******7830 RFC: CSI 020226MV4 10:51 AUT: 118244,-58.00,,"38,099.69",
09/03/2018,PAGO TARJETA DE CREDITO/ 0047510008 CUENTA: 4772913041948565 BMOV,-405.00,,"38,157.69",
09/03/2018,RETIRO CAJERO AUTOMATICO/ ******7830 MAR09 17:59 BANCOMER A990  FOLIO:3430,-500.00,,"38,562.69",
08/03/2018,PAYPAL BOOKINGCOM/ ******7830 RFC: OPM150323 DI1 01:15 AUT: 022548,-987.62,,"39,062.69",
06/03/2018,IVA COM SERV BCA INTERNET/ IVA COM SERV BC ,-0.80,,"40,050.31",
06/03/2018,SERV BANCA INTERNET/ OPS SERV BCA IN ,-5.00,,"40,051.11",
05/03/2018,SPEI ENVIADO BANORTE/IXE/ 0002449702  072 0030518PRESTAMOCUARTOS,"-30,000.00",,"40,056.11",
03/03/2018,RETIRO CAJERO AUTOMATICO/ ******7830 MAR03 10:43 BANCOMER A340  FOLIO:7937,-200.00,,"70,056.11",
02/03/2018,PAYPAL ITUNESCOM/BILL/ ******7830 RFC: OPM150323 DI1 03:29 AUT: 548238,-354.00,,"70,256.11",
01/03/2018,THE S&S CO ANDARES/ ******7830 RFC: PLO 140227CS4 13:41 AUT: 331405,-99.90,,"70,610.11",
28/02/2018,PAYPAL *NEWYORKTIME/ ******7830 RFC: OPM 150323DI1 21:39 AUT: 244945,-78.66,,"70,710.01",
28/02/2018,PAGO TARJETA DE CREDITO/ 0039261007 CUENTA: 4772913041948565 BMOV,"-7,000.00",,"70,788.67",
27/02/2018,SANBORNS AGS ALTARIA/ ******7830 RFC: SHE 190630V37 12:54 AUT: 988339,"-2,095.18",,"77,788.67",
26/02/2018,PAYPAL ITUNESCOM/BILL/ ******7830 RFC: OPM150323 DI1 20:41 AUT: 644940,-109.00,,"79,883.85",
25/02/2018,RETIRO CAJERO AUTOMATICO/ ******7830 FEB25 14:04 BANCOMER 4429  FOLIO:0117,-400.00,,"79,992.85",
26/02/2018,PAGO SEGURO/ P0JB6E5402LT PAGO SEGURO   * 00101704778     3005,-119.00,,"80,392.85",
22/02/2018,RETIRO CAJERO AUTOMATICO/ ******7830 FEB22 14:28 BANCOMER A992  FOLIO:9226,-800.00,,"80,511.85",
19/02/2018,DOMINOS MX OPERADORA Y PR/ ******7830 RFC: OPP 010927SA5 17:12 AUT: 134033,-298.00,,"81,311.85",
17/02/2018,RETIRO CAJERO AUTOMATICO/ ******7830 FEB17 20:31 BANCOMER C551  FOLIO:7233,-300.00,,"81,609.85",
14/02/2018,PAGO INTERBANCARIO TDC/ 0034632016 Santos Alberto Bañuelos Solis ***5874,"-1,900.00",,"81,909.85",
14/02/2018,PAGO INTERBANCARIO TDC/ 0034632010 Santos Alberto Bañuelos Solis ***5874,"-1,900.00",,"83,809.85",
13/02/2018,SEARS OPERADORA MEXI/ GUIA:2102683 REF:00000002201358696302 CIE:0653837,-33.48,,"85,709.85",
13/02/2018,DISTRIBUIDORA LIVERP/ GUIA:1857460 REF:00001300002947927101 CIE:0084946,"-3,979.75",,"85,743.33",
13/02/2018,PAGO TARJETA DE CREDITO/ 0064821008 CUENTA: 4772913041948565 BMOV,"-4,531.46",,"89,723.08",
